link,name
https://www.worldometers.info/coronavirus/['country/martinique/'],Martinique
https://www.worldometers.info/coronavirus/['country/afghanistan/'],Afghanistan
https://www.worldometers.info/coronavirus/['country/maldives/'],Maldives
https://www.worldometers.info/coronavirus/['country/el-salvador/'],El Salvador
https://www.worldometers.info/coronavirus/['country/namibia/'],Namibia
https://www.worldometers.info/coronavirus/['country/guadeloupe/'],Guadeloupe
https://www.worldometers.info/coronavirus/['country/uganda/'],Uganda
https://www.worldometers.info/coronavirus/['country/trinidad-and-tobago/'],Trinidad and Tobago
https://www.worldometers.info/coronavirus/['country/ghana/'],Ghana
https://www.worldometers.info/coronavirus/['country/brunei-darussalam/'],Brunei 
https://www.worldometers.info/coronavirus/['country/jamaica/'],Jamaica
https://www.worldometers.info/coronavirus/['country/cambodia/'],Cambodia
https://www.worldometers.info/coronavirus/['country/rwanda/'],Rwanda
https://www.worldometers.info/coronavirus/['country/cameroon/'],Cameroon
https://www.worldometers.info/coronavirus/['country/malta/'],Malta
https://www.worldometers.info/coronavirus/['country/angola/'],Angola
https://www.worldometers.info/coronavirus/['country/democratic-republic-of-the-congo/'],DRC
https://www.worldometers.info/coronavirus/['country/french-guiana/'],French Guiana
https://www.worldometers.info/coronavirus/['country/malawi/'],Malawi
https://www.worldometers.info/coronavirus/['country/senegal/'],Senegal
https://www.worldometers.info/coronavirus/['country/barbados/'],Barbados
https://www.worldometers.info/coronavirus/['country/cote-d-ivoire/'],Ivory Coast
https://www.worldometers.info/coronavirus/['country/channel-islands/'],Channel Islands
https://www.worldometers.info/coronavirus/['country/suriname/'],Suriname
https://www.worldometers.info/coronavirus/['country/french-polynesia/'],French Polynesia
https://www.worldometers.info/coronavirus/['country/swaziland/'],Eswatini
https://www.worldometers.info/coronavirus/['country/guyana/'],Guyana
https://www.worldometers.info/coronavirus/['country/fiji/'],Fiji
https://www.worldometers.info/coronavirus/['country/madagascar/'],Madagascar
https://www.worldometers.info/coronavirus/['country/new-caledonia/'],New Caledonia
https://www.worldometers.info/coronavirus/['country/belize/'],Belize
https://www.worldometers.info/coronavirus/['country/sudan/'],Sudan
https://www.worldometers.info/coronavirus/['country/cabo-verde/'],Cabo Verde
https://www.worldometers.info/coronavirus/['country/mauritania/'],Mauritania
https://www.worldometers.info/coronavirus/['country/bhutan/'],Bhutan
https://www.worldometers.info/coronavirus/['country/syria/'],Syria
https://www.worldometers.info/coronavirus/['country/gabon/'],Gabon
https://www.worldometers.info/coronavirus/['country/seychelles/'],Seychelles
https://www.worldometers.info/coronavirus/['country/papua-new-guinea/'],Papua New Guinea
https://www.worldometers.info/coronavirus/['country/curacao/'],Curaçao
https://www.worldometers.info/coronavirus/['country/andorra/'],Andorra
https://www.worldometers.info/coronavirus/['country/burundi/'],Burundi
https://www.worldometers.info/coronavirus/['country/aruba/'],Aruba
https://www.worldometers.info/coronavirus/['country/mauritius/'],Mauritius
https://www.worldometers.info/coronavirus/['country/mayotte/'],Mayotte
https://www.worldometers.info/coronavirus/['country/togo/'],Togo
https://www.worldometers.info/coronavirus/['country/guinea/'],Guinea
https://www.worldometers.info/coronavirus/['country/isle-of-man/'],Isle of Man
https://www.worldometers.info/coronavirus/['country/bahamas/'],Bahamas
https://www.worldometers.info/coronavirus/['country/tanzania/'],Tanzania
https://www.worldometers.info/coronavirus/['country/faeroe-islands/'],Faeroe Islands
https://www.worldometers.info/coronavirus/['country/lesotho/'],Lesotho
https://www.worldometers.info/coronavirus/['country/haiti/'],Haiti
https://www.worldometers.info/coronavirus/['country/mali/'],Mali
https://www.worldometers.info/coronavirus/['country/cayman-islands/'],Cayman Islands
https://www.worldometers.info/coronavirus/['country/benin/'],Benin
https://www.worldometers.info/coronavirus/['country/saint-lucia/'],Saint Lucia
https://www.worldometers.info/coronavirus/['country/somalia/'],Somalia
https://www.worldometers.info/coronavirus/['country/congo/'],Congo
https://www.worldometers.info/coronavirus/['country/timor-leste/'],Timor-Leste
https://www.worldometers.info/coronavirus/['country/solomon-islands/'],Solomon Islands
https://www.worldometers.info/coronavirus/['country/burkina-faso/'],Burkina Faso
https://www.worldometers.info/coronavirus/['country/gibraltar/'],Gibraltar
https://www.worldometers.info/coronavirus/['country/nicaragua/'],Nicaragua
https://www.worldometers.info/coronavirus/['country/grenada/'],Grenada
https://www.worldometers.info/coronavirus/['country/san-marino/'],San Marino
https://www.worldometers.info/coronavirus/['country/liechtenstein/'],Liechtenstein
https://www.worldometers.info/coronavirus/['country/tajikistan/'],Tajikistan
https://www.worldometers.info/coronavirus/['country/south-sudan/'],South Sudan
https://www.worldometers.info/coronavirus/['country/bermuda/'],Bermuda
https://www.worldometers.info/coronavirus/['country/equatorial-guinea/'],Equatorial Guinea
https://www.worldometers.info/coronavirus/['country/djibouti/'],Djibouti
https://www.worldometers.info/coronavirus/['country/samoa/'],Samoa
https://www.worldometers.info/coronavirus/['country/dominica/'],Dominica
https://www.worldometers.info/coronavirus/['country/central-african-republic/'],CAR
https://www.worldometers.info/coronavirus/['country/monaco/'],Monaco
https://www.worldometers.info/coronavirus/['country/tonga/'],Tonga
https://www.worldometers.info/coronavirus/['country/gambia/'],Gambia
https://www.worldometers.info/coronavirus/['country/greenland/'],Greenland
https://www.worldometers.info/coronavirus/['country/yemen/'],Yemen
https://www.worldometers.info/coronavirus/['country/vanuatu/'],Vanuatu
https://www.worldometers.info/coronavirus/['country/saint-martin/'],Saint Martin
https://www.worldometers.info/coronavirus/['country/sint-maarten/'],Sint Maarten
https://www.worldometers.info/coronavirus/['country/caribbean-netherlands/'],Caribbean Netherlands
